A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A65,MATTITUCK-CUTCHOGUE ELEMENTARY SCHOOL PO BOX 1438 CUTCHOGUE,B2724,Mattituck Jr-Sr High School 15125 Main Rd Mattituck,0.86030173
A953,PS 75 MAYDA CORTIELLA 95 GROVE ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.86030024
A1444,PS 184 FLUSHING MANOR 163-15 21ST RD WHITESTONE,B3619,P.S. 184 Flushing Manor 163-15 21st Rd Queens,0.8601046
A497,PS 70 MAX SCHOENFELD 1691 WEEKS AVE BRONX,B3384,P.S. 070 Max Schoenfeld 1691 Weeks Ave Bronx,0.8600296
A1584,PS 371 LILLIAN L RASHKIS 355 37TH ST BROOKLYN,B4109,Ps 536 1827 Archer Street Bronx,0.85999596
A382,COMMUNITY MATH AND SCIENCE PREP 401 W 164TH ST NEW YORK,B4422,"School Of Math, Science, And Healthy Living 6214 4th Avenue New York",0.8598507
A3329,SOULE ROAD ELEMENTARY SCHOOL 8338 SOULE RD LIVERPOOL,B2522,Liverpool High School 4338 Wetzel Rd Liverpool,0.85981154
A712,PS 61 FRANCISCO OLLER 1550 CROTONA PARK E BRONX,B3367,P.S. 061 Francisco Oller 1550 Crotona Park East Bronx,0.85978574
A4674,WEST VALLEY CENTRAL SCHOOL PO BOX 290 WEST VALLEY,B5287,West Valley Central School 5359 School St West Valley,0.85975295
A558,PS 23 NEW CHILDREN'S SCHOOL (THE) 2151 WASHINGTON AVE BRONX,B1218,"East Side Elementary School, Ps 267 213 East 63rd Street Manhattan",0.85973036
A2997,NORTH ROCKLAND HIGH SCHOOL PO BOX 495 THIELLS,B3026,North Rockland High School 106 Hammond Rd Thiells,0.85969454
A2104,ANDOVER SCHOOL PO BOX G ANDOVER,B151,Andover Central School 31 Elm St Andover,0.85963035
A298,PS 96 JOSEPH LANZETTA 216 E 120TH ST NEW YORK,B3431,P.S. 096 Joseph Lanzetta 216 E 120th St Manhattan,0.8596064
A1029,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES 48-01 90TH ST ELMHURST,B2130,International High School For Health Sciences 48-01 90 Street Queens,0.85958683
A1352,PS 190 SHEFFIELD 590 SHEFFIELD AVE BROOKLYN,B3631,P.S. 190 Sheffield 590 Sheffield Avenue Brooklyn,0.8595134
A1359,JHS 292 MARGARET S DOUGLAS 301 VERMONT ST BROOKLYN,B2211,J.H.S. 292 Margaret S. Douglas 301 Vermont Street Brooklyn,0.85948795
A555,NEW PATHWAYS ACADEMY 1000 TELLER AVE BRONX,B524,Bronx Envision Academy 1619 Boston Rd. Bronx,0.85946643
A2689,GREENBURGH ELEVEN MIDDLE SCHOOL 1 ECHO HILLS - BETHUNE BLDG #36 DOBBS FERRY,B1706,Greenburgh Eleven Middle School P.O. Box 501 Dobbs Ferry,0.8594451
A1317,PS 120 CARLOS TAPIA 18 BEAVER ST BROOKLYN,B3485,P.S. 120 Carlos Tapia 18 Beaver Street Brooklyn,0.8594237
A1046,JAMES J AMBROSE SCHOOL (THE) 80-51 261ST ST FLORAL PARK,B2291,John Lewis Childs Elem School 10 Elizabeth St Floral Park,0.8593612
A1398,PS/IS 155 NICHOLAS HERKIMER 1355 HERKIMER ST BROOKLYN,B3886,P.S./ I.S. 155 Nicholas Herkimer 1355 Herkimer St Brooklyn,0.85927814
A3251,WILLIAM G HOUSTON MIDDLE SCHOOL 8855 ERIE RD ANGOLA,B13,A J Schmidt Elementary School 9455 Lake Shore Rd Angola,0.8592663
