A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A1667,PS 247 7000 21ST AVE BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.9060777
A4630,WEBUTUCK ELEMENTARY SCHOOL PO BOX 400 AMENIA,B5243,Webutuck Elementary School Haight Rd Amenia,0.90601295
A436,JHS 131 ALBERT EINSTEIN 885 BOLTON AVE BRONX,B2168,J.H.S.  131 Albert Einstein 885 Bolton Ave Bronx,0.9059939
A857,MS 267 MATH SCIENCE & TECHNOLOGY 800 GATES AVE BROOKLYN,B2586,"M.S. 267 Math, Science & Technology 800 Gates Avenue Brooklyn",0.9059291
A820,BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES (THE) 284 BALTIC ST BROOKLYN,B4417,School For International Studies 284 Baltic Street Brooklyn,0.90590984
A3615,LENAPE ELEMENTARY SCHOOL 196 MAIN ST NEW PALTZ,B2451,Lenape  Elementary School 1 Eugene L Brown Dr New Paltz,0.9058421
A1396,PS 137 RACHEL JEAN MITCHELL 121 SARATOGA AVE BROOKLYN,B3891,P.S./I.S. 137 Rachel Jean Mitchell 121 Saratoga Ave Brooklyn,0.9057407
A3971,PULASKI ELEMENTARY SCHOOL 2 HINMAN RD PULASKI,B4124,Pulaski Jr-Sr High School 4624 Salina St Pulaski,0.90573907
A1284,FORT HILL COLLABORATIVE ELEMENTARY SCHOOL 195 DANIEL LOW TER STATEN ISLAND,B1474,Fort Hill Collaborative Elementary School 80 Monroe Avenue Staten Island,0.9056679
A1231,PS 11 THOMAS DONGAN SCHOOL 85 GARRETSON AVE STATEN ISLAND,B3464,P.S. 11 Thomas Dongan School 50 Jefferson St Staten Island,0.90559953
A2613,DOVER MIDDLE SCHOOL 2368 RT 22 DOVER PLAINS,B1121,Dover Jr-Sr High School 2368 New York 22 Dover Plains,0.9055664
A846,PS 25 EUBIE BLAKE SCHOOL 787 LAFAYETTE AVE BROOKLYN,B3270,P.S. 025 Eubie Blake School 787 Lafayette Ave Brooklyn,0.90552473
A161,PS 111 ADOLPH S OCHS 440 W 53RD ST NEW YORK,B3468,P.S. 111 Adolph S. Ochs 440 W 53rd St Manhattan,0.9054259
A3283,NORTH WARREN CENTRAL SCHOOL 6110 STATE RT 8 CHESTERTOWN,B3039,North Warren Es Ms Hs 6110 State Route 8 Chestertown,0.9053844
A1603,PS 176 750 BAYCHESTER AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.90535253
A3943,THOMAS A EDISON SCHOOL 132 RECTORY ST PORT CHESTER,B1241,Edison Elementary School Rectory Street Port Chester,0.90532094
A1107,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL 91-30 METROPOLITAN AVE FOREST HILLS,B2762,Metropolitan Expeditionary Learning School 91-30 Metropolitan Avenue Queens,0.90525115
A580,PS 86 KINGSBRIDGE HEIGHTS 2756 RESERVOIR AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.90520775
A2960,HAMMOND CENTRAL SCHOOL PO BOX 185 HAMMOND,B1768,Hammond Central School 51 S Main Street Hammond,0.9051871
A2698,ELBA ELEMENTARY SCHOOL PO BOX 370 ELBA,B1262,Elba Central Elementary School 57 S Main St Elba,0.90506315
A1595,PS  4 923 JEROME ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.90498286
A220,QUEST TO LEARN 351 W 18TH ST NEW YORK,B4154,Quest To Learn 351 West 18 Street Manhattan,0.90489376
A3767,SCHOOL 8 3252 FULTON AVE OCEANSIDE,B3098,Oceanside Middle School 186 Alice Ave Oceanside,0.9048881
A183,PS 234 INDEPENDENCE SCHOOL 292 GREENWICH ST NEW YORK,B3708,P.S. 234 Independence School 292 Greenwich Street Manhattan,0.9048753
A4023,JAMES MONROE UPPER SCHOOL 164 ALEXANDER ST ROCHESTER,B2827,Monroe Middle School 164 Alexander St Rochester,0.90485
A3152,MAUD S SHERWOOD ELEMENTARY SCHOOL 301 SMITH AVE ISLIP,B4497,Sherwood Elementary School Smith Ave Islip,0.9048406
A3197,JORDAN-ELBRIDGE MIDDLE SCHOOL PO BOX 902 JORDAN,B2307,Jordan Elbridge Middle School 9 N Chappell Street Jordan,0.9046998
